Stock,Date,Adj Close
S&P500,12/1/1965,92.43
S&P500,1/1/1966,92.879997
S&P500,2/1/1966,91.220001
S&P500,3/1/1966,89.230003
S&P500,4/1/1966,91.059998
S&P500,5/1/1966,86.129997
S&P500,6/1/1966,84.739998
S&P500,7/1/1966,83.599998
S&P500,8/1/1966,77.099998
S&P500,9/1/1966,76.559998
S&P500,10/1/1966,80.199997
S&P500,11/1/1966,80.449997
S&P500,12/1/1966,80.330002
S&P500,1/1/1967,86.610001
S&P500,2/1/1967,86.779999
S&P500,3/1/1967,90.199997
S&P500,4/1/1967,94.010002
S&P500,5/1/1967,89.080002
S&P500,6/1/1967,90.639999
S&P500,7/1/1967,94.75
S&P500,8/1/1967,93.639999
S&P500,9/1/1967,96.709999
S&P500,10/1/1967,93.300003
S&P500,11/1/1967,94
S&P500,12/1/1967,96.470001
S&P500,1/1/1968,92.239998
S&P500,2/1/1968,89.360001
S&P500,3/1/1968,90.199997
S&P500,4/1/1968,97.459999
S&P500,5/1/1968,98.68
S&P500,6/1/1968,99.580002
S&P500,7/1/1968,97.739998
S&P500,8/1/1968,98.860001
S&P500,9/1/1968,102.669998
S&P500,10/1/1968,103.410004
S&P500,11/1/1968,108.370003
S&P500,12/1/1968,103.860001
S&P500,1/1/1969,103.010002
S&P500,2/1/1969,98.129997
S&P500,3/1/1969,101.510002
S&P500,4/1/1969,103.690002
S&P500,5/1/1969,103.459999
S&P500,6/1/1969,97.709999
S&P500,7/1/1969,91.830002
S&P500,8/1/1969,95.510002
S&P500,9/1/1969,93.120003
S&P500,10/1/1969,97.120003
S&P500,11/1/1969,93.809998
S&P500,12/1/1969,92.059998
S&P500,1/1/1970,85.019997
S&P500,2/1/1970,89.5
S&P500,3/1/1970,89.629997
S&P500,4/1/1970,81.519997
S&P500,5/1/1970,76.550003
S&P500,6/1/1970,72.720001
S&P500,7/1/1970,78.050003
S&P500,8/1/1970,81.519997
S&P500,9/1/1970,84.300003
S&P500,10/1/1970,83.25
S&P500,11/1/1970,87.199997
S&P500,12/1/1970,92.150002
S&P500,1/1/1971,95.879997
S&P500,2/1/1971,96.75
S&P500,3/1/1971,100.309998
S&P500,4/1/1971,103.949997
S&P500,5/1/1971,99.629997
S&P500,6/1/1971,98.699997
S&P500,7/1/1971,95.580002
S&P500,8/1/1971,99.029999
S&P500,9/1/1971,98.339996
S&P500,10/1/1971,94.230003
S&P500,11/1/1971,93.989998
S&P500,12/1/1971,102.089996
S&P500,1/1/1972,103.940002
S&P500,2/1/1972,106.57
S&P500,3/1/1972,107.199997
S&P500,4/1/1972,107.669998
S&P500,5/1/1972,109.529999
S&P500,6/1/1972,107.139999
S&P500,7/1/1972,107.389999
S&P500,8/1/1972,111.089996
S&P500,9/1/1972,110.550003
S&P500,10/1/1972,111.580002
S&P500,11/1/1972,116.669998
S&P500,12/1/1972,118.050003
S&P500,1/1/1973,116.029999
S&P500,2/1/1973,111.68
S&P500,3/1/1973,111.519997
S&P500,4/1/1973,106.970001
S&P500,5/1/1973,104.949997
S&P500,6/1/1973,104.260002
S&P500,7/1/1973,108.220001
S&P500,8/1/1973,104.25
S&P500,9/1/1973,108.43
S&P500,10/1/1973,108.290001
S&P500,11/1/1973,95.959999
S&P500,12/1/1973,97.550003
S&P500,1/1/1974,96.57
S&P500,2/1/1974,96.220001
S&P500,3/1/1974,93.980003
S&P500,4/1/1974,90.309998
S&P500,5/1/1974,87.279999
S&P500,6/1/1974,86
S&P500,7/1/1974,79.309998
S&P500,8/1/1974,72.150002
S&P500,9/1/1974,63.540001
S&P500,10/1/1974,73.900002
S&P500,11/1/1974,69.970001
S&P500,12/1/1974,68.559998
S&P500,1/1/1975,76.980003
S&P500,2/1/1975,81.589996
S&P500,3/1/1975,83.360001
S&P500,4/1/1975,87.300003
S&P500,5/1/1975,91.150002
S&P500,6/1/1975,95.190002
S&P500,7/1/1975,88.75
S&P500,8/1/1975,86.879997
S&P500,9/1/1975,83.870003
S&P500,10/1/1975,89.040001
S&P500,11/1/1975,91.239998
S&P500,12/1/1975,90.190002
S&P500,1/1/1976,100.860001
S&P500,2/1/1976,99.709999
S&P500,3/1/1976,102.769997
S&P500,4/1/1976,101.639999
S&P500,5/1/1976,100.18
S&P500,6/1/1976,104.279999
S&P500,7/1/1976,103.440002
S&P500,8/1/1976,102.910004
S&P500,9/1/1976,105.239998
S&P500,10/1/1976,102.900002
S&P500,11/1/1976,102.099998
S&P500,12/1/1976,107.459999
S&P500,1/1/1977,102.029999
S&P500,2/1/1977,99.82
S&P500,3/1/1977,98.419998
S&P500,4/1/1977,98.440002
S&P500,5/1/1977,96.120003
S&P500,6/1/1977,100.480003
S&P500,7/1/1977,98.849998
S&P500,8/1/1977,96.769997
S&P500,9/1/1977,96.529999
